Protein,Status,logFC,AveExpr,t,P.Value,FDR,B,Protein.panel_3,Protein.panel
PADI2,M47_status,0.048138121,0.07866353,3.054211754,0.002257701,0.005758516,-2.783565065,Inflammation,Inflammation
PADI4,M47_status,0.076988832,0.098688299,3.710394758,0.000207159,0.000630757,-0.569174954,Other,Neurology
PBLD,M47_status,0.04017751,0.042328809,2.782133902,0.005402286,0.012876991,-3.572396899,Other,Neurology
PCDH7,M47_status,0.027292537,0.046988278,2.799971614,0.005112907,0.012270136,-3.452176368,Other,Oncology
PDIA4,M47_status,0.038606053,0.054050285,2.284702765,0.022334915,0.04693383,-4.758769524,Cardiometabolic,Cardiometabolic
PDIA5,M47_status,0.043797607,0.035487143,2.61686778,0.008877161,0.020399325,-3.930871571,Other,Oncology
PDLIM7,M47_status,0.085324396,0.028086636,2.431643602,0.015033858,0.032794006,-4.495135611,Inflammation,Inflammation
PEBP1,M47_status,0.042752698,0.024174329,2.609751575,0.009063418,0.020778331,-4.046040947,Other,Neurology
PI16,M47_status,0.019987997,0.000870551,2.856977583,0.004278927,0.010536904,-3.296449951,Inflammation,Inflammation
PIKFYVE,M47_status,0.04790352,0.07368469,3.078928096,0.002078761,0.005353498,-2.62754453,Inflammation,Inflammation
PLSCR3,M47_status,0.050653479,0.032211007,3.076109238,0.002098479,0.00539003,-2.640751261,Other,Neurology
PNLIP,M47_status,-0.042584804,0.015511144,-2.468461933,0.01357321,0.029875372,-4.326722614,Inflammation,Inflammation
PNLIPRP1,M47_status,0.087006293,0.004573844,3.97215509,7.13e-05,0.000234553,0.502223808,Other,Neurology
POMC,M47_status,-0.079667051,0.026883708,-3.906021708,9.4e-05,0.000302001,0.251997434,Cardiometabolic,Cardiometabolic
PON2,M47_status,0.02209543,-0.006733006,2.275250254,0.022895086,0.047943229,-4.853566011,Cardiometabolic,Cardiometabolic
POSTN,M47_status,0.032095824,0.008139256,3.06046351,0.002211254,0.005649908,-2.694029758,Cardiometabolic,Cardiometabolic
PPP1R12A,M47_status,0.084198589,0.049678593,3.187931939,0.001433796,0.003809986,-2.378360102,Other,Oncology
PPP1R9B,M47_status,0.094672193,0.020730237,3.57869871,0.000345623,0.001017377,-1.063494077,Inflammation,Inflammation
PQBP1,M47_status,0.083916658,0.061486885,5.362097601,8.26e-08,3.79e-07,6.8923269,Other,Oncology
PRDX5,M47_status,0.051033319,-0.128771233,2.733538021,0.006267904,0.014786992,-3.721524816,Inflammation,Inflammation
PROS1,M47_status,0.025100158,-0.006875379,3.539169736,0.000401793,0.001167438,-1.121983876,Inflammation,Inflammation
PRR5,M47_status,0.029508115,0.03555946,2.301189739,0.021385613,0.045133679,-4.710894152,Inflammation,Inflammation
PRSS22,M47_status,0.036658933,0.029848439,3.746938735,0.000179237,0.000553293,-0.357500782,Inflammation,Inflammation
PRUNE2,M47_status,0.02691987,0.019392038,3.362401604,0.000773335,0.002158986,-1.718650187,Other,Oncology
PSCA,M47_status,0.178095894,-1.30768092,2.498090378,0.012490007,0.027615952,-4.248564053,Other,Oncology
PSMD1,M47_status,0.040216965,0.04112961,2.895931111,0.003782185,0.009384827,-3.178787296,Other,Neurology
PSME2,M47_status,0.023833723,0.01156708,2.27434531,0.022949376,0.048017915,-4.854052745,Other,Neurology
PSRC1,M47_status,0.038524052,0.111332056,2.356178796,0.018467841,0.039692278,-4.664228753,Other,Oncology
PTH,M47_status,0.083418006,0.041941202,3.591741693,0.000328837,0.00097188,-0.919086071,Other,Neurology
PTPRN2,M47_status,0.032766671,0.000274865,3.565289829,0.000363787,0.001064413,-1.099925722,Other,Neurology
QDPR,M47_status,0.031240978,0.012966099,2.589352883,0.009618366,0.021896017,-4.09716112,Cardiometabolic,Cardiometabolic
RAB44,M47_status,0.042052795,0.055693941,3.319833194,0.000901435,0.002485748,-1.868103951,Other,Oncology
RALY,M47_status,0.056263745,0.047205045,4.098257367,4.17e-05,0.00014157,1.006729085,Other,Oncology
RASSF2,M47_status,0.097035604,0.062313515,6.013126648,1.83e-09,9.55e-09,10.58005331,Other,Oncology
RBKS,M47_status,0.037293473,0.02969667,2.534277941,0.011270937,0.025225842,-4.226382175,Other,Neurology
RCOR1,M47_status,0.048043079,0.085352057,3.89791644,9.71e-05,0.000311025,0.136849189,Cardiometabolic,Cardiometabolic
REPS1,M47_status,0.028255443,0.031306906,2.649790673,0.008057078,0.018676319,-3.851546438,Inflammation,Inflammation
RFC4,M47_status,0.014050314,0.011353804,2.360745263,0.018242533,0.039294711,-4.58085557,Other,Oncology
RGMA,M47_status,-0.030154156,0.002169562,-3.438675087,0.000585026,0.001657008,-1.55168179,Other,Neurology
ROBO2,M47_status,0.032781249,0.004513843,4.900189583,9.6e-07,3.84e-06,4.519566473,Other,Neurology
RPA2,M47_status,0.035128213,0.023540231,4.074106667,4.63e-05,0.000156005,0.916274757,Inflammation,Inflammation
RPL14,M47_status,0.050976131,0.043457828,4.508601052,6.54e-06,2.39e-05,2.775878288,Cardiometabolic,Cardiometabolic
RRM2,M47_status,0.053772369,0.068655798,3.82676903,0.000129993,0.000409892,-0.134427228,Other,Oncology
S100A14,M47_status,0.042783986,0.06849952,2.956366846,0.003114491,0.007807597,-3.002681986,Other,Neurology
SAMD9L,M47_status,0.049358445,0.038110059,2.437171826,0.014806008,0.032321106,-4.477255332,Inflammation,Inflammation
SCAMP3,M47_status,0.06476088,0.058302176,2.728690328,0.006360804,0.014969912,-3.726328317,Other,Oncology
SCGB1A1,M47_status,0.038337554,-0.05754645,2.396781331,0.016543327,0.035872512,-4.578409226,Inflammation,Inflammation
SCGB3A1,M47_status,0.021214551,0.006740859,2.804073521,0.005048359,0.012156468,-3.43076586,Inflammation,Inflammation
SCIN,M47_status,-0.050882794,0.069793455,-2.504256708,0.012274539,0.027263281,-4.213722904,Other,Neurology
SCRN1,M47_status,0.039713131,0.044289017,2.566025057,0.010289944,0.02311876,-4.156045586,Inflammation,Inflammation
SCT,M47_status,-0.044637927,0.015143496,-3.466387827,0.00052801,0.00150573,-1.359532626,Other,Neurology
SDK2,M47_status,-0.027552428,0.019142002,-2.57507995,0.010024941,0.02264521,-4.044060563,Inflammation,Inflammation
SEMA4C,M47_status,0.047072065,0.011472247,6.093226258,1.11e-09,5.91e-09,11.05780478,Other,Oncology
SEPTIN9,M47_status,0.025550039,0.032055902,3.222898217,0.001269799,0.003410947,-2.260902415,Other,Oncology
SERPINA1,M47_status,0.007665325,-0.000750078,3.434220792,0.000594807,0.00168308,-1.478516011,Inflammation,Inflammation
SERPINA5,M47_status,0.026615968,0.023924351,2.944858323,0.003232708,0.008083152,-3.034077715,Inflammation,Inflammation
SERPINA7,M47_status,0.012953942,0.001279292,2.463045831,0.013779957,0.03026207,-4.338119071,Inflammation,Inflammation
SERPINE1,M47_status,0.059566729,-0.043671976,3.164697928,0.001553332,0.004101526,-2.454717412,Cardiometabolic,Cardiometabolic
SERPINH1,M47_status,0.097502585,0.010165639,2.711889984,0.006692679,0.01568781,-3.685945913,Other,Oncology
SFTPA1,M47_status,0.044212057,0.100914487,2.802617033,0.00507092,0.012190036,-3.516785982,Other,Oncology
SFTPD,M47_status,0.050553082,0.012393118,2.669331084,0.007602631,0.017707163,-3.889867566,Cardiometabolic,Cardiometabolic
SHMT1,M47_status,0.083138828,0.00336138,3.488180468,0.000486724,0.001396167,-1.378079813,Inflammation,Inflammation
SIGLEC5,M47_status,0.120784309,-0.300180667,3.687458017,0.000226738,0.000687505,-0.664851297,Other,Neurology
SIRPA,M47_status,0.046184146,-0.079226105,2.939784091,0.003285864,0.008202034,-3.135421388,Cardiometabolic,Cardiometabolic
SKAP1,M47_status,0.097890453,0.031403274,4.726196086,2.29e-06,8.81e-06,3.694555075,Other,Neurology
SLC13A1,M47_status,-0.042758871,0.110687557,-2.571108553,0.010140566,0.022835806,-4.064248013,Other,Oncology
SLMAP,M47_status,0.072332349,0.086737006,3.090175922,0.002001611,0.0051914,-2.601067256,Other,Oncology
SORD,M47_status,0.050196672,9.72e-05,2.574287777,0.010047424,0.022678471,-4.141231105,Other,Oncology
SOX9,M47_status,0.020843121,-0.008415625,2.771283378,0.005585948,0.013285376,-3.518094618,Other,Neurology
SPTLC1,M47_status,0.033636488,0.052846819,3.254944662,0.001134988,0.00308038,-2.078337634,Other,Neurology
ST3GAL1,M47_status,0.042183196,0.04055724,3.504908252,0.000457154,0.001316514,-1.315669594,Other,Oncology
STAT2,M47_status,0.049012609,0.048488425,2.277713983,0.022748453,0.047699949,-4.76441703,Inflammation,Inflammation
STX4,M47_status,0.080044783,0.097047624,4.721331325,2.35e-06,9e-06,3.668997878,Other,Oncology
STX8,M47_status,0.046570045,0.05005847,3.412804733,0.000643475,0.001813768,-1.633678702,Inflammation,Inflammation
SUMF1,M47_status,0.043762771,0.134099887,2.382094459,0.017218753,0.037226638,-4.522233949,Inflammation,Inflammation
SUMF2,M47_status,0.04104711,-0.035847823,2.796700487,0.005164633,0.012375315,-3.546100053,Other,Neurology
SYT1,M47_status,0.035783618,0.035394764,3.266948897,0.001087952,0.002958219,-2.039358098,Other,Neurology
TALDO1,M47_status,0.048209258,0.02401185,3.763069483,0.000168055,0.000521471,-0.306034981,Cardiometabolic,Cardiometabolic
TARBP2,M47_status,0.051041637,0.031731263,2.317170069,0.020498462,0.043418119,-4.753664809,Other,Neurology
TAX1BP1,M47_status,0.043947854,0.093276103,2.459028551,0.013935116,0.030568242,-4.342755213,Other,Neurology
TCL1A,M47_status,0.123347035,0.007000535,4.419681026,9.91e-06,3.54e-05,2.298753014,Other,Neurology
TCL1B,M47_status,-0.055000322,0.140514541,-2.533462592,0.011297173,0.025245899,-4.234918719,Cardiometabolic,Cardiometabolic
TDRKH,M47_status,0.075786716,0.097213712,3.220110777,0.001282224,0.003438477,-2.262727854,Other,Neurology
TEF,M47_status,0.03079004,0.016441447,2.605326139,0.009181821,0.021016808,-3.963238358,Cardiometabolic,Cardiometabolic
TEX101,M47_status,-0.068631959,0.130519434,-3.348293901,0.000813796,0.002265453,-1.760166298,Other,Neurology
TFRC,M47_status,0.036913542,0.030089804,3.366613714,0.000761526,0.00212805,-1.795399719,Cardiometabolic,Cardiometabolic
TGFBI,M47_status,-0.018582886,0.003453019,-2.463648841,0.013756339,0.030232917,-4.4138991,Cardiometabolic,Cardiometabolic
TGFBR1,M47_status,0.020363663,0.00722894,3.344222974,0.000825831,0.002296768,-1.779176398,Inflammation,Inflammation
THPO,M47_status,0.035068233,0.012365823,3.285447546,0.001018897,0.002786003,-2.054881595,Cardiometabolic,Cardiometabolic
TIGAR,M47_status,0.067603595,0.004743513,5.191918699,2.09e-07,9.16e-07,5.999431547,Other,Neurology
TIGIT,M47_status,0.027004729,0.024707055,2.665484552,0.007690554,0.017883445,-3.810190903,Other,Oncology
TIMP3,M47_status,0.158889591,0.143632544,4.363575245,1.28e-05,4.53e-05,2.045235767,Inflammation,Inflammation
TLR4,M47_status,0.022049799,0.003765326,2.83900448,0.004527549,0.011055994,-3.334457597,Inflammation,Inflammation
TMEM132A,M47_status,-0.041242688,-0.012801358,-2.363176964,0.018123377,0.039095669,-4.563353134,Cardiometabolic,Cardiometabolic
TMPRSS11D,M47_status,0.035065316,0.031525468,3.22799077,0.001247531,0.003360859,-2.164036781,Other,Neurology
TNFRSF10C,M47_status,0.045569835,-0.061268686,3.343325467,0.000828395,0.002301711,-1.872162611,Cardiometabolic,Cardiometabolic
TOP2B,M47_status,0.083034089,0.057378356,3.723594098,0.000196654,0.000602537,-0.444318782,Inflammation,Inflammation
TOR1AIP1,M47_status,0.045927619,0.04516749,3.080900331,0.002065042,0.005327553,-2.617975857,Cardiometabolic,Cardiometabolic
TPSAB1,M47_status,0.064516043,-0.009438562,4.457538635,8.31e-06,2.99e-05,2.456241527,Inflammation,Inflammation
TXN,M47_status,0.033077009,0.045120647,2.686510953,0.007222963,0.016890177,-3.760347479,Inflammation,Inflammation
TYRO3,M47_status,0.019566411,-0.000935028,2.503082796,0.012314743,0.027331811,-4.318320014,Cardiometabolic,Cardiometabolic
VAT1,M47_status,0.016271464,0.005737322,2.96030228,0.003074779,0.007725472,-3.069843746,Other,Oncology
VSIR,M47_status,0.039241699,0.088140333,2.321324627,0.020273216,0.043065851,-4.754663317,Cardiometabolic,Cardiometabolic
VSTM1,M47_status,0.042857083,0.013083518,3.155219985,0.001604715,0.004210578,-2.468825433,Other,Neurology
WASHC3,M47_status,0.059600379,0.096135602,2.781960349,0.005405429,0.012876991,-3.500024157,Other,Neurology
XIAP,M47_status,0.041926018,0.058140055,2.601537846,0.009283825,0.021217061,-3.977709942,Inflammation,Inflammation
XRCC4,M47_status,0.023219839,0.015793091,2.275214035,0.02289728,0.047943229,-4.849662782,Other,Neurology
YTHDF3,M47_status,0.05454843,0.013733442,2.335784029,0.019506389,0.041618375,-4.712821349,Inflammation,Inflammation
YWHAQ,M47_status,0.051797855,0.039360563,2.517697196,0.011816018,0.026344943,-4.189564799,Inflammation,Inflammation
ZBP1,M47_status,0.044156009,0.062550214,3.856721476,0.000115083,0.000364847,0.058048729,Inflammation,Inflammation
ZHX2,M47_status,0.050530916,0.044260656,5.292635637,1.21e-07,5.46e-07,6.591788457,Other,Neurology
AARSD1,M48_status,0.056438696,0.019698119,2.92443495,0.003452332,0.011212406,-2.92777949,Other,Oncology
ADAM23,M48_status,0.031361921,-0.034219332,2.677471874,0.007420332,0.022245776,-3.626512591,Inflammation,Inflammation
ADGRD1,M48_status,0.046265779,0.022676505,3.173221936,0.001508613,0.005230933,-2.08811334,Inflammation,Inflammation
AGER,M48_status,-0.045258907,0.002555894,-3.204785042,0.001352459,0.004751487,-2.080022216,Inflammation,Inflammation
ARNTL,M48_status,0.045162898,0.102395063,2.583252398,0.009790614,0.028475588,-3.773200299,Cardiometabolic,Cardiometabolic
BGLAP,M48_status,-0.095812323,-0.035380119,-3.09120143,0.001994706,0.006756114,-2.355206274,Cardiometabolic,Cardiometabolic
C1QBP,M48_status,0.053771863,0.122015394,2.365391299,0.018015272,0.049030391,-4.317601209,Other,Neurology
C1QL2,M48_status,-0.07019501,0.017741315,-4.643055556,3.44e-06,1.85e-05,3.612872524,Inflammation,Inflammation
CAPN3,M48_status,0.049504935,0.037431858,3.893701081,9.89e-05,0.000426249,0.431730023,Other,Oncology
CCDC28A,M48_status,-0.03005049,-0.011098725,-3.029371583,0.002452066,0.008154026,-2.528165084,Other,Neurology
CDK1,M48_status,0.032653794,-0.009015981,2.652875009,0.00798386,0.023716283,-3.5931373,Other,Oncology
CLSTN2,M48_status,0.055375157,0.025167254,4.200000492,2.67e-05,0.000127486,1.578783268,Inflammation,Inflammation
COL4A1,M48_status,0.071090005,0.008903324,5.224169199,1.76e-07,1.1e-06,6.379509101,Cardiometabolic,Cardiometabolic
CPVL,M48_status,0.041381616,-0.028252491,3.052082507,0.002273745,0.007613009,-2.559414679,Other,Oncology
CTRL,M48_status,-0.064366517,-0.002999698,-2.76588043,0.005679265,0.017716639,-3.298074056,Other,Neurology
EIF4EBP1,M48_status,0.061532035,0.04870152,2.760805835,0.005767933,0.017974061,-3.397102393,Cardiometabolic,Cardiometabolic
ERMAP,M48_status,0.039457384,0.011458589,2.495290326,0.012589087,0.035656881,-3.998455841,Inflammation,Inflammation
ESPL1,M48_status,0.048669316,0.096003046,2.604700809,0.009198601,0.026968417,-3.718893731,Other,Oncology
FAP,M48_status,0.029100158,-0.001334077,3.120436613,0.001806816,0.00618422,-2.348543999,Cardiometabolic,Cardiometabolic
FGFR4,M48_status,-0.046143853,0.019997548,-2.547531225,0.0108522,0.031313899,-3.865292518,Inflammation,Inflammation
GCLM,M48_status,0.037825089,0.060051347,2.449598737,0.014305479,0.039899728,-4.107183917,Cardiometabolic,Cardiometabolic
GJA8,M48_status,0.06556318,0.055411619,3.172427822,0.001512759,0.005239094,-2.090473716,Other,Oncology
GPC5,M48_status,-0.050354949,-0.011886857,-2.668573208,0.007619821,0.022773759,-3.639501241,Other,Neurology
HEBP1,M48_status,0.049121001,0.030027024,2.725961425,0.006413656,0.019651064,-3.483868112,Cardiometabolic,Cardiometabolic
HMOX1,M48_status,0.046921405,0.022002069,2.879134614,0.003989341,0.012828209,-3.061615106,Cardiometabolic,Cardiometabolic
ICOSLG,M48_status,-0.022009165,-0.00034408,-3.421869755,0.000622406,0.002308747,-1.358611279,Other,Oncology
IKZF2,M48_status,-0.092369041,0.230531253,-3.047348823,0.002309893,0.007716362,-2.563117558,Other,Oncology
IL11,M48_status,0.055862069,0.099934327,2.671882488,0.007545123,0.022573586,-3.628965819,Inflammation,Inflammation
IL18RAP,M48_status,-0.140580307,0.370329296,-2.432543803,0.014996606,0.041668327,-4.235072873,Other,Neurology
IL3RA,M48_status,0.030606408,0.004592107,2.808361078,0.004981345,0.015673273,-3.257181458,Inflammation,Inflammation
JCHAIN,M48_status,0.053081997,-0.015048747,2.57666721,0.009978603,0.028909471,-3.877380963,Inflammation,Inflammation
KLHL41,M48_status,0.065120683,0.075460912,3.79790463,0.000146117,0.000611892,0.066331309,Other,Neurology
LTB,M48_status,-0.028528449,0.017536502,-2.431229832,0.015051579,0.041717511,-4.161229691,Other,Oncology
LY75,M48_status,-0.03265007,-0.031896243,-2.504154136,0.012277524,0.034943722,-4.067635977,Inflammation,Inflammation
MCAM,M48_status,0.044187598,0.006548241,3.802583476,0.000143359,0.000602068,0.002955825,Cardiometabolic,Cardiometabolic
MEGF10,M48_status,0.052418186,0.001207063,3.943593813,8.04e-05,0.000351704,0.5443969,Inflammation,Inflammation
MELTF,M48_status,0.025260251,-0.000663056,2.514677498,0.011917605,0.034018709,-3.961575466,Cardiometabolic,Cardiometabolic
MENT,M48_status,-0.024708945,-0.007945336,-3.021863494,0.002513688,0.008321076,-2.553655554,Inflammation,Inflammation
NCLN,M48_status,-0.04793343,0.097684602,-2.734421419,0.006251177,0.019254151,-3.460899995,Inflammation,Inflammation
NRP1,M48_status,0.064491797,-0.001746993,6.887818028,5.73e-12,6.02e-11,16.39122529,Cardiometabolic,Cardiometabolic
NXPH1,M48_status,-0.032399188,-0.002271211,-2.529104991,0.01143841,0.032907944,-3.996402253,Other,Neurology
PDGFRB,M48_status,0.035174423,-0.036893689,3.022498225,0.002508192,0.008321076,-2.647631973,Cardiometabolic,Cardiometabolic
PEPD,M48_status,0.029361098,-0.000244501,3.328643732,0.000873402,0.003171372,-1.599657989,Inflammation,Inflammation
PINLYP,M48_status,-0.089037573,-0.062739202,-3.835348401,0.000125562,0.00053114,0.215702075,Inflammation,Inflammation
PRKAB1,M48_status,0.051173763,0.07096205,2.800863321,0.005098545,0.016024781,-3.278086829,Inflammation,Inflammation
PYDC1,M48_status,0.049151118,0.029286466,3.45324471,0.000554412,0.002074963,-1.163078666,Cardiometabolic,Cardiometabolic
RANGAP1,M48_status,-0.042961783,0.046900062,-2.655003804,0.007933248,0.023613934,-3.675236319,Other,Oncology
REG3G,M48_status,0.036877422,0.013354644,2.746438004,0.006027043,0.018683742,-3.350794095,Other,Oncology
ROBO4,M48_status,0.015802984,-0.00372824,2.630846358,0.008520248,0.025105528,-3.647123867,Cardiometabolic,Cardiometabolic
SEZ6L,M48_status,-0.023785698,0.004286294,-2.416829062,0.015659807,0.043346228,-4.283340532,Other,Oncology
SLC9A3R2,M48_status,0.046590364,0.081026429,2.720708426,0.006516744,0.019925149,-3.422550416,Other,Oncology
SPESP1,M48_status,0.031409406,0.03431416,2.84577785,0.00443232,0.01411293,-3.080169399,Cardiometabolic,Cardiometabolic
SPINK5,M48_status,-0.033124645,0.01771427,-2.892806408,0.003819764,0.012337203,-3.023713588,Other,Neurology
SPRR1B,M48_status,-0.087562542,0.15194459,-3.068983647,0.00214919,0.007220786,-2.41310473,Other,Oncology
TK1,M48_status,0.040247414,0.045749574,2.643839223,0.008200066,0.024284492,-3.619026005,Other,Oncology
TMED10,M48_status,-0.040713902,0.069871177,-2.470132907,0.013510108,0.037971198,-4.057024593,Cardiometabolic,Cardiometabolic
TNFRSF17,M48_status,0.040636019,0.009715093,2.894016442,0.003805358,0.012304271,-2.9291674,Inflammation,Inflammation
TOP1,M48_status,-0.096110474,-0.068899767,-2.479173203,0.013172401,0.037093379,-4.04624518,Other,Oncology
TPPP3,M48_status,0.032967319,0.030165225,2.510620476,0.012055029,0.034377413,-4.042708834,Other,Neurology
UROS,M48_status,0.055157912,0.064125736,2.400713477,0.016367309,0.045091088,-4.223003767,Other,Neurology
VAMP5,M48_status,0.067725365,0.095585935,3.761446669,0.000169124,0.00069922,-0.144889539,Cardiometabolic,Cardiometabolic
VSIG10,M48_status,0.040543837,0.035568325,3.371190044,0.000749077,0.002747243,-1.452992224,Other,Oncology
VSIG10L,M48_status,0.026828374,0.018424096,2.387968433,0.016946054,0.046466526,-4.255216199,Cardiometabolic,Cardiometabolic
VTCN1,M48_status,-0.026286861,0.001085215,-2.454852333,0.014097607,0.03939513,-4.183642193,Other,Oncology
WFDC1,M48_status,0.055542529,0.071265799,3.019885657,0.002530162,0.008366134,-2.558121511,Other,Oncology
WIF1,M48_status,-0.02936413,0.002785377,-2.493832925,0.012640285,0.035767233,-4.098618817,Other,Oncology
AIDA,M50_status,-0.149799899,0.164716929,-3.01878405,0.002539381,0.027066933,-1.909258047,Other,Neurology
CEACAM1,M50_status,0.04488197,-0.009662798,3.092972034,0.001982685,0.022376021,-1.749950839,Other,Oncology
CLEC2L,M50_status,-0.097912009,0.083148065,-3.287696764,0.001010905,0.014004151,-1.088356409,Other,Neurology
EIF1AX,M50_status,-0.094635431,0.102428358,-2.929193374,0.003400146,0.032773033,-2.168378149,Other,Neurology
GABARAPL1,M50_status,-0.10703524,0.133141633,-2.792041284,0.005239927,0.044391014,-2.548224433,Other,Oncology
HS6ST2,M50_status,0.066412024,0.029374483,3.197945014,0.001385097,0.017679647,-1.365963675,Inflammation,Inflammation
KIAA2013,M50_status,-0.09379273,0.117820988,-2.89450813,0.003799372,0.03536804,-2.268404388,Other,Oncology
KITLG,M50_status,-0.067218431,-0.026278965,-3.023130069,0.002502977,0.026897796,-1.95482566,Cardiometabolic,Cardiometabolic
MAPRE3,M50_status,-0.260445887,0.505830629,-3.05895777,0.002222444,0.024513979,-1.784553384,Other,Oncology
MED21,M50_status,-0.083629341,0.070729194,-2.874602454,0.004047334,0.036969863,-2.316028298,Cardiometabolic,Cardiometabolic
MN1,M50_status,-0.105530388,0.075179053,-3.122573835,0.001793945,0.020974801,-1.600714003,Other,Neurology
NMI,M50_status,0.12158861,0.063258205,2.865297794,0.004168127,0.037430922,-2.346476049,Other,Oncology
PDCD6,M50_status,-0.113119417,-0.171325817,-2.763434943,0.005721679,0.04658626,-2.685786081,Cardiometabolic,Cardiometabolic
SMAD1,M50_status,0.133970891,0.056594546,2.742725178,0.006095321,0.048846052,-2.733861836,Other,Oncology
UXS1,M50_status,0.110111432,0.00740446,3.54934004,0.00038655,0.0069746,-0.266541133,Other,Oncology
CD209,M51_status,-0.050628691,0.033376327,-3.089623922,0.002005165,0.016591468,-1.863465753,Cardiometabolic,Cardiometabolic
CTSB,M51_status,-0.083187187,0.044976026,-3.646425713,0.000266175,0.003174541,-0.027019543,Cardiometabolic,Cardiometabolic
CYP24A1,M51_status,0.13278397,0.217802368,3.706329909,0.000210546,0.00266327,0.242346149,Cardiometabolic,Cardiometabolic
FGF9,M51_status,-0.046706835,-0.021023366,-2.75679693,0.005839513,0.038172386,-2.749298242,Other,Oncology
IFNL2,M51_status,-0.079728271,0.113220442,-3.058120881,0.002228654,0.018050615,-1.892096532,Other,Neurology
IL31,M51_status,-0.065937163,0.108171457,-2.809228733,0.00496825,0.033839687,-2.611391305,Inflammation,Inflammation
MEP1B,M51_status,-0.133349089,-0.248737589,-2.680149907,0.007361259,0.045874895,-3.019745636,Cardiometabolic,Cardiometabolic
MXRA8,M51_status,-0.042938709,0.005975072,-2.995016013,0.002745837,0.021452772,-2.082156603,Inflammation,Inflammation
NACC1,M51_status,0.070702189,0.046621638,3.023476496,0.002500304,0.019852961,-2.006537196,Other,Oncology
OMD,M51_status,-0.05579816,-0.028139448,-2.887824324,0.003880771,0.028068352,-2.451351707,Inflammation,Inflammation
PPY,M51_status,-0.119888177,0.055425367,-2.690595288,0.007134769,0.044930594,-2.989988401,Other,Oncology
PTPRR,M51_status,-0.0418343,-0.000365739,-2.653942979,0.007958543,0.04875233,-3.029386718,Other,Neurology
